VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1G1FZ6S07L,Skagit,Anacortes,WA,98221,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,40,123581125,POINT (-122.61214 48.51748),PUGET SOUND ENERGY INC,53057940201
1N4AZ0CP2D,Thurston,Olympia,WA,98506,2013,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,22,114529264,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012211
5YJ3E1EB4L,King,Seattle,WA,98106,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,34,263145599,POINT (-122.35163 47.54287),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009900
1N4BZ1CP3K,Spokane,Spokane,WA,99203,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,3,138475991,POINT (-117.39322 47.63374),MODERN ELECTRIC WATER COMPANY,53063004500
1FMCU0E13R,Kitsap,Bremerton,WA,98311,2024,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,23,269820771,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091900
WBY1Z6C32H,Kitsap,Poulsbo,WA,98370,2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,23,220928641,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
5YJ3E1EA7M,Snohomish,Bothell,WA,98021,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,197460658,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051937
5YJYGDEE0L,King,Seattle,WA,98108,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,37,127485886,POINT (-122.30346 47.55379),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010001
1N4AZ0CP4E,Thurston,Olympia,WA,98502,2014,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,35,7083947,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011901
KNDC3DLC6R,Yakima,Wapato,WA,98951,2024,KIA,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,275052214,POINT (-120.42083 46.44779),PACIFICORP,53077940007
1G1RA6E43D,Thurston,Olympia,WA,98502,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,22,8448723,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010510
1N4AZ0CP9F,Yakima,Yakima,WA,98903,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,14,264913883,POINT (-120.4778 46.55351),PACIFICORP,53077002803
WMWXP3C05M,Snohomish,Everett,WA,98201,2021,MINI,HARDTOP,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,110,0,38,123225651,POINT (-122.20596 47.97659),PUGET SOUND ENERGY INC,53061040100
1N4AZ1CP3K,King,Duvall,WA,98019,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,45,334762830,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032401
WBAJB1C58K,Thurston,Lacey,WA,98503,2019,BMW,530E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,15,55700,22,475113859,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011410
1FMCU0E15R,Thurston,Olympia,WA,98502,2024,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,22,269184583,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067011100
5YJ3E1EA7J,Snohomish,Snohomish,WA,98290,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,44,476233649,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052502
WA1E2AFY5M,Thurston,Olympia,WA,98502,2021,AUDI,Q5 E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,0,22,269927080,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012002
1G1RC6E43F,Thurston,Olympia,WA,98501,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,22,115490966,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010300
5YJXCBE25G,Thurston,Olympia,WA,98513,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,0,2,245054981,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012320
5YJ3E1EA0J,Kitsap,Port Orchard,WA,98367,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,233773956,POINT (-122.68516 47.50645),PUGET SOUND ENERGY INC,53035092901
7SAYGDEE4P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,252829629,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051935
LPSED3KA7M,King,Burien,WA,98166,2021,POLESTAR,PS2,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,233,0,34,176320490,POINT (-122.34102 47.46593),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027800
5YJ3E1EB1L,Snohomish,Snohomish,WA,98290,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,39,263254666,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052301
5YJ3E1EB5N,Yakima,Union Gap,WA,98903,2022,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,15,198844712,POINT (-120.4778 46.55351),PACIFICORP,53077001400
JTDKARFP9K,Kitsap,Poulsbo,WA,98370,2019,TOYOTA,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,23,340612723,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
JTMEB3FV4R,Walla Walla,Walla Walla,WA,99362,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,16,259935749,POINT (-118.34261 46.07068),PACIFICORP,53071920702
1G1FZ6S0XL,Ferry,Kettle Falls,WA,99141,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,0,7,103500155,POINT (-118.06211 48.61053),AVISTA CORP,53019970100
1FTZR0816Y,Thurston,Olympia,WA,98506,2000,FORD,RANGER,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,58,0,22,8166497,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
5YJYGDEFXL,Thurston,Lacey,WA,98503,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,22,227488313,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011421
1G1RA6E46D,Thurston,Olympia,WA,98513,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,2,180215675,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012420
WA1M2BFZ4P,Snohomish,Bothell,WA,98012,2023,AUDI,Q4,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,238074623,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051936
5YJ3E1EA0K,Snohomish,Everett,WA,98204,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,478003844,POINT (-122.27557 47.88936),PUGET SOUND ENERGY INC,53061041812
